contest,year,T1,T2,T3,E1,E2,T4,T5
ipho,2025,Hydrogen and galaxies,Cox's Timepiece,Champagne!,Earth's magnetic field measurement,Sand craters and dunes,Strongly correlated Fermi gases (Theory Backup),
ipho,2024,Greenhouse Effect,Trapping Ions and Cooling Atoms,Black Widow Pulsar,Heat Conduction in a Copper Rod,Diffraction from Phase Steps,,
ipho,2023,Soil Colloids,Neutron Stars,Water and Objects,Mass Measurement,Birefringence,,
ipho,2022,Permanent magnets,James Webb Space Telescope,Scaling laws,Planet,Cylindrical Diode,,
ipho,2021,Planetary Physics,Electrostatic Lens,Particles and Waves,Non-ideal Capacitors,LEDs,,
ipho,2020,Problem Mix,Anisotropic Friction,Laser Technologies,Crystallography,,,
ipho,2019,Zero-length springs and slinky coils,The Physics of a Microwave Oven,Thermoacoustic Engine,Optical Measurements,Wiedemann-Franz Law,,
ipho,2018,LIGO-GW150914,Where is the neutrino?,Physics of Live Systems,Paper Transistor,Viscoelasticity of a Polymer Thread,,
ipho,2017,Dark Matter,Earthquake Volcano and Tsunami,Cosmic Inflation,Optics of a Salt Solution,Earthquake and Volcano Sensing,,
ipho,2016,Two Problems in Mechanics,Nonlinear Dynamics in Electric Circuits,Large Hadron Collider,Electrical Conductivity in 2D,Jumping Beads,,
ipho,2015,Particles from the Sun,The Extremum Principle,The Design of a Nuclear Reactor,Diffraction due to Helical Structure,Diffraction due to Surface Tension,,
ipho,2014,Three Problems,Van der Waals Gas,Gas Discharge,To see invisible!,,,
ipho,2013,The Maribo Meteorite,Plasmonic Steam Generator,The Greenlandic Ice Sheet,Speed of Light,Solar Cells,,
ipho,2012,Focus on sketches,Kelvin water dropper,Protostar formation,The Magnetic Permeability of Water,Nonlinear Black Box,,
ipho,2011,A Three-body Problem and LISA,An Electrified Soap Bubble,Scattering of an Ion by a Neutral Atom,Electrical Black Box: Capacitive Displacement Sensor,Mechanical Black Box: a cylinder with a ball inside,,
ipho,2010,Image of a charge in a metallic object,Chimney physics,Simple model of an atomic nucleus,Elasticity of Sheets,Forces between Magnets,,
ipho,2009,Evolution of the Earth-Moon System,Doppler Laser Cooling and Optical Molasses,Why are Stars so Large?,Wavelength of a Diode Laser,Birefringence of Mica,,
ipho,2008,Water-Powered Rice-Pounding Mortar,Cherenkov Light and Ring Imaging Counter,Change of Air Temperature in the Atmosphere,Differential Thermometric Method,,,
ipho,2007,Black Holes,Air Bags,Binary Stars,Band Gap of Semiconductor Thin Films,,,
ipho,2006,Gravity in a Neutron Interferometer,Watching a Rod in Motion,Five Estimations,Interference Reflection and Diffraction,,,
ipho,2005,An Ill Fated Satellite,Absolute Measurements of Electrical Quantities,Neutrons in a Gravitational Field,Planck's Constant in an Incandescent Lamp,,,
ipho,2004,"""Ping-Pong"" Resistor",Rising Balloon,Atomic Probe Microscope,Mechanical Black Box,,,
apho,2025,Precession of the Earth's axis,Waves and Phase Transitions,Physics of the Atmosphere,Physics of Induction Cooking,,,
apho,2023,ISS Orbital Decay Dynamics,A ball on a turntable,Cavitation,Hertzian Contact Stress,Interference from thermally deformed surface (thermos-deformation),,
apho,2022,The Stern-Gerlach Experiment,A Mechanical Model for Phase Transitions,Maxwell Rayleigh and Mount Everest,Magnetic Black Box,Acoustic Black Box,,
apho,2021,Water-Hammer Effect,Ray Tracing,Magnetic Levitation,Elasticity of cantilever,Optical methods,,
apho,2019,RF Reflectometry of Single-Electron Circuits,Jets from AGN,Tippe top,Static response of ferrofluid,Wave pulses in ferrofluid,,
apho,2018,Optical Trap of Neutral Atoms,Space Elevator,Thermoelectric Effects,Giant magnetoresistance (GMR),,,
apho,2017,Vortices in superfluid,Evolution of Supermassive Black Holes Binary,Space Debris,Photonic Crystal,,,
apho,2016,Mechanics of a Deformable Lattice,The Expanding Universe,Magnetic Field Effects on Superconductors,Optical diffraction,Reflection phase shift of metal,,
apho,2015,Fractional Quantum Hall effect,How are Aurora Ignited by the Solar Wind?,Fabry-Perot etalon,Piezoelectric Effect,,,
apho,2014,Hadley Circulation,Two-Slit Electron Interference,Gravitational Lensing,Speed of Ultrasonic Sound in Solution,,,
apho,2013,Conductors in Conducting Liquid,Relativistic Correction on GPS Satellite,Physics of Spin,Wind power,,,
apho,2012,The Drag on a Falling Magnet,Chandrasekhar Limit,Pancharatnam Phase,Friction,Electromagnetic Induction,,
apho,2011,The Shockley-James Paradox,Creaking Door,Birthday Balloon,Levitation of conductors,Optical Black Box,,
apho,2010,Particles and Waves,Strong Resistive Electromagnets,Electron and Gas Bubbles in Liquids,Magnetic force probe,Understanding Semiconductor Lasers,,
apho,2009,Rolling Cylinders,A Self-excited Magnetic Dynamo,The Leidenfrost Phenomenon,The Earth's Horizontal Magnetic Field,Oscillation of Water-Filled Vessel,,
apho,2008,Tea Ceremony and Physics of Bubbles,Ionic Crystal Yukawa-type Potential and Pauli Principle,How does a superluminal object look like?,The Physics of Sound Wave,,,
apho,2007,Back-and-Forth Rolling of a Liquid-Filled Sphere,Optical properties of an unusual material,Specific heat of free electron gas at constant volume,Refractive Index of Glass,Measurement of liquid electric conductivity,,
apho,2006,Laser cooling of atoms,Oscillator damped by sliding friction,Three Problems,,,,
apho,2004,Measure the mass in the weightless state,Optical fiber,Compression and expansion of a two gases system,Hall effect and Magnetoresistivity effect,Black Box,,
apho,2003,Satellite's orbit transfer,Optical Gyroscope,Plasma Lens,Determination of Capacitance,Cylindrical Bore,,
apho,2001,When will the Moon become a Synchronous Satellite?,Motion of an Electric Dipole in a Magnetic Field,Thermal Vibrations of Surface Atoms,Characteristics of Solar Cells,,,
ipho,2003,A Swing with a Falling Weight,A Piezoelectric Crystal Resonator,Neutrino Mass and Neutron Decay,Optical Properties of Laser Diode,,,
ipho,2002,Ground-Penetrating Radar,Sensing Electrical Signals,A Heavy Vehicle Moving on an Inclined Road,Physical Constants with Electrolysis,Optical Black Box,,
ipho,2000,Five Problems,Cathode Ray Tube,Gravitational Waves and Light,CDROM Spectrometer,The Magnetic Puck,,
ipho,1999,Absorption of Radiation by a Gas,Magnetic Field with a V-Shaped Wire,A Space Probe to Jupiter,Torsion Pendulum,,,
ipho,1995,Gravitational Red Shift and Stellar Mass,Sound Propagation,Cylindrical Buoy,Terminal Velocity in a Viscous Liquid,Diffraction and Scattering of Laser Light,,
ipho,1992,A Rotating Satellite,The Longitudinal Motion of a Linear Molecule,A Satellite in Sunshine,Electric Breakdown of Air,A Grating and Optical Filters,,
ipho,1983,Jumping Particle,Different Kind of Oscillation,Prisms,,,Compton Scattering,IPhO's Logo
